epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,521.356,1.0849,0.93322,1.33302,0.92228,0.79109,0.88779,0.70461,0.7812,0.69294,1.28138,0.000840286,0.000840286,0.000840286
43,533.566,1.07818,0.92856,1.321,0.89706,0.79884,0.89292,0.70121,0.79141,0.70141,1.29383,0.000812,0.000812,0.000812
44,545.54,1.06065,0.88393,1.31928,0.89915,0.81731,0.86154,0.66812,0.83835,0.75616,1.32922,0.000783714,0.000783714,0.000783714
45,557.538,1.05181,0.89504,1.31295,0.93404,0.78333,0.89044,0.70548,0.81016,0.66996,1.31407,0.000755429,0.000755429,0.000755429
46,569.703,1.06365,0.88655,1.31927,0.92004,0.80417,0.88231,0.69485,0.80983,0.66952,1.29679,0.000727143,0.000727143,0.000727143
47,581.74,1.05707,0.88414,1.31304,0.92186,0.82083,0.88911,0.71673,0.75919,0.65501,1.26646,0.000698857,0.000698857,0.000698857
48,593.839,1.051,0.87881,1.30159,0.93268,0.8125,0.89756,0.70502,0.81138,0.65978,1.30825,0.000670571,0.000670571,0.000670571
49,605.805,1.037,0.86129,1.29672,0.92868,0.81667,0.89478,0.70974,0.78657,0.65757,1.30079,0.000642286,0.000642286,0.000642286
50,617.878,1.03008,0.86417,1.28182,0.92476,0.81939,0.89633,0.69728,0.79725,0.66832,1.29605,0.000614,0.000614,0.000614
51,630.211,1.02622,0.83916,1.27835,0.91686,0.78119,0.87545,0.67747,0.79346,0.71196,1.30111,0.000585714,0.000585714,0.000585714
52,642.71,1.04749,0.84217,1.29672,0.90808,0.8233,0.87747,0.6805,0.83724,0.68438,1.33042,0.000557429,0.000557429,0.000557429
53,654.976,1.00187,0.8246,1.27064,0.90864,0.84167,0.88379,0.69195,0.79493,0.66133,1.29902,0.000529143,0.000529143,0.000529143
54,667.009,1.0132,0.82773,1.27194,0.91216,0.82208,0.87623,0.69091,0.76232,0.6595,1.27986,0.000500857,0.000500857,0.000500857
55,679.259,0.98464,0.80683,1.24949,0.91511,0.8125,0.87683,0.69921,0.74586,0.68305,1.25974,0.000472571,0.000472571,0.000472571
56,691.752,0.98743,0.7952,1.26552,0.92416,0.82083,0.88118,0.70126,0.74713,0.66835,1.24145,0.000444286,0.000444286,0.000444286
57,703.768,0.97748,0.77261,1.25223,0.89278,0.85417,0.89748,0.72152,0.75393,0.64025,1.26366,0.000416,0.000416,0.000416
58,715.815,0.96599,0.77256,1.24169,0.89151,0.84167,0.88971,0.70823,0.74434,0.64191,1.22733,0.000387714,0.000387714,0.000387714
59,727.937,0.97888,0.78619,1.24831,0.92145,0.8309,0.88449,0.70605,0.76029,0.65127,1.25897,0.000359429,0.000359429,0.000359429
60,740.529,0.98786,0.76373,1.26366,0.91068,0.82917,0.88414,0.71139,0.75565,0.64165,1.24996,0.000331143,0.000331143,0.000331143
61,753.436,0.91016,0.71443,1.21076,0.91355,0.7875,0.87265,0.69625,0.75609,0.69031,1.24853,0.000302857,0.000302857,0.000302857
62,765.677,0.88008,0.64626,1.19636,0.93302,0.80833,0.88727,0.72141,0.71997,0.61795,1.22352,0.000274571,0.000274571,0.000274571
63,777.936,0.87474,0.61966,1.19124,0.91144,0.81481,0.87925,0.71071,0.733,0.62997,1.23549,0.000246286,0.000246286,0.000246286
64,790.452,0.86011,0.61143,1.17986,0.93297,0.81196,0.88731,0.71962,0.73148,0.62533,1.22626,0.000218,0.000218,0.000218
65,802.897,0.84952,0.58914,1.17319,0.90748,0.81738,0.8797,0.70358,0.74718,0.62522,1.25916,0.000189714,0.000189714,0.000189714
66,814.87,0.84207,0.58581,1.16371,0.92801,0.80564,0.87178,0.7086,0.72381,0.63534,1.23372,0.000161429,0.000161429,0.000161429
67,827.007,0.83445,0.57336,1.15625,0.92356,0.80549,0.87898,0.71344,0.69518,0.63556,1.19757,0.000133143,0.000133143,0.000133143
68,839.239,0.83509,0.56287,1.15405,0.92672,0.79039,0.87625,0.70646,0.72974,0.6398,1.23277,0.000104857,0.000104857,0.000104857
69,851.155,0.83255,0.57124,1.14746,0.91888,0.8125,0.87652,0.7123,0.71699,0.62768,1.22186,7.65714e-05,7.65714e-05,7.65714e-05
70,863.006,0.80883,0.54638,1.12916,0.92853,0.81205,0.88044,0.71765,0.70406,0.61735,1.21103,4.82857e-05,4.82857e-05,4.82857e-05
